,tweet_author,tweet_text
0,hematopoiesis news,   scientists conducted a phase ii study of acalabrutinib in patients with relapsed refractory  cll who were ibrutinib intolerant  and found an overall response rate of       https   t co ej m qpc p https   t co kuzz zo  r
1,michael wang  md,this phase   acalabrutinib venetoclax  av  trial that is still in recruitment phase will study how well venetoclax and acalabrutinib works in mcl patients who either relapsed or non respondent to the initial therapy   https   t co gg g at  n
2, stoncology, nice backs  astrazenecas  calquence for  cll https   t co vb lpdogra
3,toby eyre, acalabrutinib is a valuable option in pts intolerant to  ibrutinib  further valuable data to help decision making in  cll   early view   haematologica https   t co z kclzax d
4,lymphoma hub,nice has recommended the use of acalabrutinib for patients with treatment na ve chronic lymphocytic leukemia  find out more here https   t co  oujptlcin  lymsm  lymphoma
5,david ledger,nice backs astrazeneca s calquence for cll https   t co jopnlnid r https   t co  pwy nkp s
6,n wales cancer forum,this is england for now   these decisions usually come to wales too   more info   https   t co sr tu zshh https   t co ofdwedlav 
7,european pharmaceutical review,astrazeneca s calquence  acalabrutinib   a chemotherapy free monotherapy  will be offered to patients with chronic lymphocytic  leukaemia   oncology  drugapprovals  pharma  healthnews find out more here  https   t co qyuft cn b https   t co sxve nggx 
8,graham collins,superstar  tobyeyre   responding to the excellent news of nice approval of acalabrutinib in frontline cll for fcr   br unsuitable patients  https   t co lacvpotrwx
9,cll ireland,cll patients all know the drug ibrutinib and yesterday in the uk acalabrutinib was approved and now a new drug pirtobrutinib is making a big impact for relapsed patients in recent  clinicaltrials  cancertrials ie  cllsociety  lal ni  bloodcancerirl https   t co murr kphsz
10,mice ideas,optimal management of high risk cll with acalabrutinib    march             pm        pm  speaker     dr p g subramanian  mumbai  speaker     group captain  dr  harshit khurana  pune  chair  dr s h advani  mumbai moderator  dr m b agarwal  mumbai  link  https   t co ou demfice https   t co nvaedomrll
11,farooq a wandroo,acalabrutinib for all forms of cll  nice today get ready   swbhpharmacy  stevenshanu  hojansenya  swbh randd  oncology at az https   t co pg gautz j
12,leukaemia care,it has been announced today  thursday   th march  that the national institute for health and care excellence  nice  have made recommendations for acalabrutinib to become a treatment option for certain groups of chronic lymphocytic leukaemia  cll  patients in england 
13,helen oram,nice has recommended the use of acalabrutinib  as a monotherapy option for adults with   a   p deletion or tp   mutation  or  no   p deletion or tp   mutation  and fludarabine plus cyclophosphamide and rituximab  fcr   or bendamustine plus rituximab  br  is unsuitable  https   t co ntyg vlkyz
14,healthwatch,a brand new oral treatment  acalabrutinib  taken as a twice daily tablet  for untreated  blood cancer  chronic lymphocytic leukaemia  has today  thursday    march       been recommended for nhs use by nice  https   t co nloyybepra
15,pharmabox in,nice backs astrazeneca s calquence for cll https   t co p fy o mti
16,pharma trader,nice backs astrazeneca s calquence for cll https   t co v wjokqqtm
17,everything pharma,nice backs astrazeneca s calquence for cll https   t co  raq sljis
18,ijpsonline,nice backs astrazeneca s calquence for cll https   t co hkpfa iw n
19,iceberg vision,nice backs astrazeneca s calquence for cll https   t co  b ryahrxx
20,pharmatimes,nice backs astrazeneca s calquence for cll https   t co fteaemfsw   pharma  lifesciences
